transaction_id,user_id,product_id,quantity,unit_price,total_amount,discount_applied,final_amount,payment_method,transaction_date,delivery_address,order_status,shipping_cost,delivery_date
txn_4a0f9822,user_00199,prod_00176,2,778.57,1557.14,110.64,1446.5,e_wallet,2025-07-29 10:19:42,"Bandung, Indonesia",completed,23.26,2025-08-05
txn_f8c2d42d,user_00216,prod_00063,1,1436.92,1436.92,72.1,1364.82,e_wallet,2025-06-30 10:19:42,"Tangerang, Indonesia",completed,18.7,2025-07-04
txn_7ea9db6e,user_00677,prod_00165,3,1400.99,4202.97,726.24,3476.73,debit_card,2025-07-29 10:19:42,"Medan, Indonesia",pending,16.01,2025-08-05
txn_50a5c4ae,user_00752,prod_00215,3,949.08,2847.24,285.74,2561.5,bank_transfer,2025-05-31 10:19:42,"Jakarta, Indonesia",processing,18.06,2025-06-07
txn_b2bee5d1,user_00761,prod_00052,1,225.82,225.82,39.12,186.7,bank_transfer,2025-07-09 10:19:42,"Palembang, Indonesia",completed,26.89,2025-07-14
txn_bc95555b,user_00298,prod_00138,2,1819.44,3638.88,446.04,3192.84,credit_card,2025-06-19 10:19:42,"Bandung, Indonesia",completed,18.31,2025-06-25
txn_d4d93903,user_00569,prod_00440,1,325.32,325.32,9.95,315.37,credit_card,2025-07-14 10:19:42,"Surabaya, Indonesia",pending,12.3,2025-07-18
txn_058fc728,user_00432,prod_00219,2,1655.93,3311.86,596.39,2715.47,bank_transfer,2025-05-26 10:19:42,"Palembang, Indonesia",completed,12.3,2025-05-31
txn_cdc0f9ea,user_00861,prod_00383,1,940.0,940.0,69.08,870.92,debit_card,2025-05-11 10:19:42,"Depok, Indonesia",completed,16.02,2025-05-15
txn_423875a8,user_00827,prod_00447,1,1445.69,1445.69,130.28,1315.41,e_wallet,2025-06-17 10:19:42,"Makassar, Indonesia",cancelled,20.56,2025-06-23
txn_f62c3271,user_00995,prod_00043,3,1310.24,3930.72,76.6,3854.12,e_wallet,2025-05-21 10:19:42,"Palembang, Indonesia",completed,22.45,2025-05-27
txn_9c73223a,user_00665,prod_00476,2,297.28,594.56,58.4,536.16,e_wallet,2025-06-09 10:19:42,"Surabaya, Indonesia",completed,27.25,2025-06-12
txn_af5b51fc,user_00786,prod_00499,2,1014.01,2028.02,376.3,1651.72,credit_card,2025-07-29 10:19:42,"Jakarta, Indonesia",processing,24.87,2025-08-01
txn_7abc9bed,user_00353,prod_00454,1,679.89,679.89,15.52,664.37,credit_card,2025-07-13 10:19:42,"Surabaya, Indonesia",pending,29.79,2025-07-18
txn_307f0277,user_00158,prod_00293,3,167.94,503.82,21.51,482.31,bank_transfer,2025-07-29 10:19:42,"Surabaya, Indonesia",completed,10.22,2025-08-02
