user_id,product_id,interaction_type,timestamp,session_id,device_type,duration_seconds,rating
user_00006,prod_00221,view,2025-07-30 10:19:42,sess_2850ef05,mobile,133,
user_00142,prod_00180,like,2025-05-20 10:19:42,sess_44e674ea,mobile,49,
user_00731,prod_00139,like,2025-07-20 10:19:42,sess_4dd57cb1,desktop,117,
user_00033,prod_00243,view,2025-05-05 10:19:42,sess_2fd18a5d,tablet,202,
user_00433,prod_00205,like,2025-07-08 10:19:42,sess_4c891cd1,tablet,228,
user_00696,prod_00449,cart,2025-07-05 10:19:42,sess_b9ba1cfc,desktop,74,
user_00427,prod_00284,view,2025-07-20 10:19:42,sess_de72bd35,desktop,295,
user_00950,prod_00322,view,2025-06-12 10:19:42,sess_8229654a,desktop,54,
user_00142,prod_00270,view,2025-05-27 10:19:42,sess_9d7a703d,tablet,188,
user_00480,prod_00182,view,2025-06-08 10:19:42,sess_86524c86,desktop,19,
user_00935,prod_00287,like,2025-05-13 10:19:42,sess_bd454023,desktop,129,
user_00595,prod_00263,view,2025-05-22 10:19:42,sess_609aad03,tablet,155,
user_00055,prod_00387,view,2025-05-06 10:19:42,sess_728dfb52,mobile,241,
user_00827,prod_00391,cart,2025-06-26 10:19:42,sess_99868302,tablet,59,
user_00342,prod_00305,like,2025-07-23 10:19:42,sess_63bfb9ac,mobile,266,
user_00758,prod_00368,like,2025-05-28 10:19:42,sess_746d97df,mobile,119,
user_00917,prod_00346,view,2025-06-21 10:19:42,sess_d7c993a1,tablet,8,
user_00825,prod_00249,view,2025-07-30 10:19:42,sess_cf2605c5,mobile,66,
user_00533,prod_00050,view,2025-05-31 10:19:42,sess_f392393c,mobile,263,
user_00455,prod_00201,like,2025-07-07 10:19:42,sess_5890a70a,mobile,284,
user_00267,prod_00421,like,2025-05-10 10:19:42,sess_43efff3c,mobile,99,
user_00146,prod_00420,view,2025-05-02 10:19:42,sess_8e8df46a,tablet,107,
user_00488,prod_00246,view,2025-07-18 10:19:42,sess_6644694b,tablet,257,
user_00377,prod_00342,view,2025-05-02 10:19:42,sess_2639d376,mobile,242,
user_00427,prod_00417,view,2025-06-24 10:19:42,sess_e4ee30f3,desktop,66,
user_00578,prod_00200,view,2025-07-26 10:19:42,sess_d6fa2734,tablet,232,
user_00044,prod_00465,like,2025-06-25 10:19:42,sess_137d87d8,mobile,86,
user_00367,prod_00257,view,2025-05-01 10:19:42,sess_197eb728,tablet,204,
user_00526,prod_00033,view,2025-06-15 10:19:42,sess_2ec3833d,tablet,293,
user_00348,prod_00236,view,2025-05-07 10:19:42,sess_69e9460f,desktop,206,
user_00070,prod_00470,view,2025-05-31 10:19:42,sess_15e3b417,tablet,97,
user_00590,prod_00363,view,2025-06-19 10:19:42,sess_a0238484,tablet,183,
user_00599,prod_00317,view,2025-07-27 10:19:42,sess_029a51e6,tablet,86,
user_00238,prod_00050,view,2025-05-05 10:19:42,sess_60a20788,desktop,170,
user_00779,prod_00119,view,2025-07-08 10:19:42,sess_80c8eb28,tablet,201,
user_00774,prod_00499,cart,2025-06-28 10:19:42,sess_0b1a0ff0,mobile,24,
user_00868,prod_00384,view,2025-06-13 10:19:42,sess_b7c83265,tablet,20,
user_00946,prod_00090,view,2025-06-03 10:19:42,sess_a3963939,desktop,73,
user_00653,prod_00294,view,2025-05-29 10:19:42,sess_8df8d0b5,desktop,151,
user_00231,prod_00104,view,2025-05-24 10:19:42,sess_bfc60b4d,mobile,49,
user_00597,prod_00013,view,2025-07-13 10:19:42,sess_ce3ef8d2,mobile,189,
user_00793,prod_00209,view,2025-05-04 10:19:42,sess_e2ecfbec,tablet,275,
user_00509,prod_00098,view,2025-05-31 10:19:42,sess_0e5c9700,tablet,185,
user_00366,prod_00317,like,2025-07-21 10:19:42,sess_7928ec16,tablet,45,
user_00131,prod_00401,view,2025-05-28 10:19:42,sess_97783c85,mobile,31,
user_00616,prod_00277,view,2025-06-23 10:19:42,sess_01cd6247,desktop,204,
user_00721,prod_00184,like,2025-05-23 10:19:42,sess_26f8e54c,tablet,128,
user_00874,prod_00266,view,2025-07-23 10:19:42,sess_6732f11a,tablet,61,
user_00597,prod_00242,view,2025-07-26 10:19:42,sess_e4cd447a,desktop,220,
user_00268,prod_00103,cart,2025-07-04 10:19:42,sess_b3fa5730,tablet,173,
user_00947,prod_00388,view,2025-07-21 10:19:42,sess_864f7d27,tablet,23,
user_00355,prod_00037,view,2025-05-13 10:19:42,sess_c71ead4b,mobile,287,
user_00491,prod_00485,view,2025-07-25 10:19:42,sess_913d9c7e,mobile,23,
user_00509,prod_00260,view,2025-06-05 10:19:42,sess_f37aa2b5,desktop,160,
user_00801,prod_00436,view,2025-07-23 10:19:42,sess_ff165211,mobile,105,
user_00548,prod_00312,view,2025-07-28 10:19:42,sess_f22a7260,tablet,251,
user_00054,prod_00199,view,2025-06-05 10:19:42,sess_c2c5ff3c,tablet,223,
user_00563,prod_00071,view,2025-05-13 10:19:42,sess_d0fb66c8,desktop,185,
user_00199,prod_00176,purchase,2025-07-29 10:19:42,sess_5c0bb0ac,mobile,216,4.0
user_00910,prod_00414,cart,2025-06-29 10:19:42,sess_d2ea630c,mobile,44,
user_00059,prod_00065,view,2025-07-25 10:19:42,sess_4d75fd67,desktop,184,
user_00617,prod_00336,cart,2025-06-10 10:19:42,sess_08590bda,desktop,67,
user_00673,prod_00040,view,2025-05-22 10:19:42,sess_3863d28c,mobile,258,
user_00723,prod_00377,like,2025-06-22 10:19:42,sess_a8fa64e3,desktop,287,
user_00300,prod_00445,view,2025-06-26 10:19:42,sess_35de15c6,desktop,282,
