user_id,product_id,interaction_type,timestamp,session_id,device_type,duration_seconds,rating
user_00006,prod_00221,view,2025-07-24 08:30:59,sess_fd187dbf,mobile,133,
user_00142,prod_00180,like,2025-05-14 08:30:59,sess_19e631f0,mobile,49,
user_00731,prod_00139,like,2025-07-14 08:30:59,sess_d9d51427,desktop,117,
user_00033,prod_00243,view,2025-04-29 08:30:59,sess_4f6b9bae,tablet,202,
user_00433,prod_00205,like,2025-07-02 08:30:59,sess_ec69c26b,tablet,228,
user_00696,prod_00449,cart,2025-06-29 08:30:59,sess_7b70bcc4,desktop,74,
user_00427,prod_00284,view,2025-07-14 08:30:59,sess_faf284bf,desktop,295,
user_00950,prod_00322,view,2025-06-06 08:30:59,sess_69b389cd,desktop,54,
user_00142,prod_00270,view,2025-05-21 08:30:59,sess_8f3a9a83,tablet,188,
user_00480,prod_00182,view,2025-06-02 08:30:59,sess_b5147af3,desktop,19,
user_00935,prod_00287,like,2025-05-07 08:30:59,sess_48109d20,desktop,129,
user_00595,prod_00263,view,2025-05-16 08:30:59,sess_abc7be0c,tablet,155,
user_00055,prod_00387,view,2025-04-30 08:30:59,sess_64e6965f,mobile,241,
user_00827,prod_00391,cart,2025-06-20 08:30:59,sess_5e819078,tablet,59,
user_00342,prod_00305,like,2025-07-17 08:30:59,sess_6fef33a2,mobile,266,
user_00758,prod_00368,like,2025-05-22 08:30:59,sess_7660444b,mobile,119,
user_00917,prod_00346,view,2025-06-15 08:30:59,sess_0eba41a9,tablet,8,
user_00825,prod_00249,view,2025-07-24 08:30:59,sess_25b19de8,mobile,66,
user_00533,prod_00050,view,2025-05-25 08:30:59,sess_b22d7dd6,mobile,263,
user_00455,prod_00201,like,2025-07-01 08:30:59,sess_460e48da,mobile,284,
user_00267,prod_00421,like,2025-05-04 08:30:59,sess_adb36627,mobile,99,
user_00146,prod_00420,view,2025-04-26 08:30:59,sess_3dc69ec3,tablet,107,
user_00488,prod_00246,view,2025-07-12 08:30:59,sess_53d1a69d,tablet,257,
user_00377,prod_00342,view,2025-04-26 08:30:59,sess_a0bd34b7,mobile,242,
user_00427,prod_00417,view,2025-06-18 08:30:59,sess_3dc5237b,desktop,66,
user_00578,prod_00200,view,2025-07-20 08:30:59,sess_bbf0770b,tablet,232,
user_00044,prod_00465,like,2025-06-19 08:30:59,sess_5f932ebc,mobile,86,
user_00367,prod_00257,view,2025-04-25 08:30:59,sess_eba8667f,tablet,204,
user_00526,prod_00033,view,2025-06-09 08:30:59,sess_33039382,tablet,293,
user_00348,prod_00236,view,2025-05-01 08:30:59,sess_f7535dc3,desktop,206,
user_00070,prod_00470,view,2025-05-25 08:30:59,sess_cd54c757,tablet,97,
user_00590,prod_00363,view,2025-06-13 08:30:59,sess_f57c0a1d,tablet,183,
user_00599,prod_00317,view,2025-07-21 08:30:59,sess_6d7050dc,tablet,86,
user_00238,prod_00050,view,2025-04-29 08:30:59,sess_2961e41f,desktop,170,
user_00779,prod_00119,view,2025-07-02 08:30:59,sess_f8333110,tablet,201,
user_00774,prod_00499,cart,2025-06-22 08:30:59,sess_1be270f5,mobile,24,
user_00868,prod_00384,view,2025-06-07 08:30:59,sess_15aaaaa3,tablet,20,
user_00946,prod_00090,view,2025-05-28 08:30:59,sess_f9eeebb0,desktop,73,
user_00653,prod_00294,view,2025-05-23 08:30:59,sess_b9f7f915,desktop,151,
user_00231,prod_00104,view,2025-05-18 08:30:59,sess_607221f9,mobile,49,
user_00597,prod_00013,view,2025-07-07 08:30:59,sess_34cb4aed,mobile,189,
user_00793,prod_00209,view,2025-04-28 08:30:59,sess_e3b42064,tablet,275,
user_00509,prod_00098,view,2025-05-25 08:30:59,sess_96a7c23f,tablet,185,
user_00366,prod_00317,like,2025-07-15 08:30:59,sess_6455430e,tablet,45,
user_00131,prod_00401,view,2025-05-22 08:30:59,sess_12856e14,mobile,31,
user_00616,prod_00277,view,2025-06-17 08:30:59,sess_bdaa9aa1,desktop,204,
user_00721,prod_00184,like,2025-05-17 08:30:59,sess_6f928a75,tablet,128,
user_00874,prod_00266,view,2025-07-17 08:30:59,sess_401ff187,tablet,61,
user_00597,prod_00242,view,2025-07-20 08:30:59,sess_6afb3d3e,desktop,220,
user_00268,prod_00103,cart,2025-06-28 08:30:59,sess_a97a3360,tablet,173,
user_00947,prod_00388,view,2025-07-15 08:30:59,sess_e72cf458,tablet,23,
user_00355,prod_00037,view,2025-05-07 08:30:59,sess_8dc0b522,mobile,287,
user_00491,prod_00485,view,2025-07-19 08:30:59,sess_73d35a06,mobile,23,
user_00509,prod_00260,view,2025-05-30 08:30:59,sess_801b1de6,desktop,160,
user_00801,prod_00436,view,2025-07-17 08:30:59,sess_537e71e5,mobile,105,
user_00548,prod_00312,view,2025-07-22 08:30:59,sess_7f28d199,tablet,251,
user_00054,prod_00199,view,2025-05-30 08:30:59,sess_dcdccb23,tablet,223,
user_00563,prod_00071,view,2025-05-07 08:30:59,sess_a49f0256,desktop,185,
user_00199,prod_00176,purchase,2025-07-23 08:30:59,sess_0bfbf0f5,mobile,216,4.0
user_00910,prod_00414,cart,2025-06-23 08:30:59,sess_20e11272,mobile,44,
user_00059,prod_00065,view,2025-07-19 08:30:59,sess_a624876f,desktop,184,
user_00617,prod_00336,cart,2025-06-04 08:30:59,sess_d8172c6e,desktop,67,
user_00673,prod_00040,view,2025-05-16 08:30:59,sess_4afa7d48,mobile,258,
user_00723,prod_00377,like,2025-06-16 08:30:59,sess_c98815de,desktop,287,
